,ppt,Date
188,0.0,2003-07-09
189,0.0,2003-07-10
190,0.0,2003-07-11
191,0.0,2003-07-12
192,0.328000009059906,2003-07-13
193,0.0,2003-07-14
194,0.0,2003-07-15
195,0.0,2003-07-16
196,0.0,2003-07-17
197,0.0,2003-07-18
198,0.0,2003-07-19
199,0.0,2003-07-20
200,0.0,2003-07-21
201,0.0,2003-07-22
202,0.0,2003-07-23
203,0.0,2003-07-24
204,0.0,2003-07-25
205,0.0,2003-07-26
206,0.0,2003-07-27
207,0.0,2003-07-28
208,0.0,2003-07-29
209,0.0,2003-07-30
210,0.0,2003-07-31
211,0.0,2003-08-01
212,0.8450000286102295,2003-08-02
213,1.4110000133514404,2003-08-03
214,0.0,2003-08-04
215,0.0,2003-08-05
216,0.0,2003-08-06
217,0.0,2003-08-07
218,0.0,2003-08-08
219,0.0,2003-08-09
220,0.0,2003-08-10
221,0.0,2003-08-11
222,0.0,2003-08-12
223,0.0,2003-08-13
224,0.0,2003-08-14
225,0.0,2003-08-15
226,0.0,2003-08-16
227,0.0,2003-08-17
228,0.0,2003-08-18
229,0.0,2003-08-19
230,0.0,2003-08-20
231,0.0,2003-08-21
232,0.0,2003-08-22
233,0.0,2003-08-23
234,0.0,2003-08-24
235,0.0,2003-08-25
236,0.0,2003-08-26
237,0.0,2003-08-27
238,0.0,2003-08-28
239,0.0,2003-08-29
240,0.0,2003-08-30
241,0.0,2003-08-31
242,0.0,2003-09-01
243,0.0,2003-09-02
244,0.0,2003-09-03
245,2.069999933242798,2003-09-04
246,0.0,2003-09-05
247,0.0,2003-09-06
248,0.0,2003-09-07
249,0.0,2003-09-08
250,0.0,2003-09-09
251,3.562000036239624,2003-09-10
252,0.0,2003-09-11
253,0.0,2003-09-12
254,0.0,2003-09-13
255,0.0,2003-09-14
256,0.0,2003-09-15
257,0.0,2003-09-16
258,0.0,2003-09-17
259,0.0,2003-09-18
260,0.0,2003-09-19
261,0.0,2003-09-20
262,0.0,2003-09-21
263,0.0,2003-09-22
264,0.0,2003-09-23
265,0.0,2003-09-24
266,0.0,2003-09-25
267,0.0,2003-09-26
268,0.0,2003-09-27
269,0.0,2003-09-28
270,0.0,2003-09-29
271,0.0,2003-09-30
272,0.0,2003-10-01
273,0.0,2003-10-02
274,0.0,2003-10-03
275,0.0,2003-10-04
276,0.0,2003-10-05
277,0.0,2003-10-06
278,0.0,2003-10-07
279,0.0,2003-10-08
280,0.0,2003-10-09
281,0.0,2003-10-10
282,0.0,2003-10-11
283,0.0,2003-10-12
284,0.0,2003-10-13
285,0.0,2003-10-14
286,0.0,2003-10-15
287,0.0,2003-10-16
288,0.0,2003-10-17
289,0.0,2003-10-18
290,0.0,2003-10-19
291,0.0,2003-10-20
292,0.0,2003-10-21
293,0.0,2003-10-22
294,0.0,2003-10-23
295,0.0,2003-10-24
296,0.0,2003-10-25
297,0.0,2003-10-26
298,0.0,2003-10-27
299,0.0,2003-10-28
300,0.0,2003-10-29
301,0.5519999861717224,2003-10-30
302,2.686000108718872,2003-10-31
303,0.0,2003-11-01
304,0.8740000128746033,2003-11-02
305,13.883999824523926,2003-11-03
306,0.0,2003-11-04
307,2.684999942779541,2003-11-05
308,1.3300000429153442,2003-11-06
309,10.932000160217283,2003-11-07
310,33.52199935913086,2003-11-08
311,30.027999877929688,2003-11-09
312,37.49300003051758,2003-11-10
313,0.0,2003-11-11
314,0.0,2003-11-12
315,0.0,2003-11-13
316,3.802999973297119,2003-11-14
317,38.58000183105469,2003-11-15
318,19.746000289916992,2003-11-16
319,9.845999717712402,2003-11-17
320,0.6909999847412109,2003-11-18
321,0.0,2003-11-19
322,2.250999927520752,2003-11-20
323,0.0,2003-11-21
324,0.2809999883174896,2003-11-22
325,0.0,2003-11-23
326,0.0,2003-11-24
327,0.6359999775886536,2003-11-25
328,1.5260000228881836,2003-11-26
329,0.0,2003-11-27
330,0.0199999995529651,2003-11-28
331,7.929999828338623,2003-11-29
332,30.042999267578125,2003-11-30
333,11.109000205993652,2003-12-01
334,28.78700065612793,2003-12-02
335,11.57900047302246,2003-12-03
336,2.072000026702881,2003-12-04
337,35.27899932861328,2003-12-05
338,59.2509994506836,2003-12-06
339,71.27899932861328,2003-12-07
340,9.472000122070312,2003-12-08
341,1.2059999704360962,2003-12-09
342,30.993000030517575,2003-12-10
343,24.030000686645508,2003-12-11
344,12.501999855041504,2003-12-12
345,79.18599700927734,2003-12-13
346,82.39600372314453,2003-12-14
347,20.77400016784668,2003-12-15
348,0.0,2003-12-16
349,0.0,2003-12-17
350,0.0,2003-12-18
351,1.2510000467300415,2003-12-19
352,31.739999771118164,2003-12-20
353,6.334000110626221,2003-12-21
354,0.0,2003-12-22
355,1.8609999418258667,2003-12-23
356,40.94200134277344,2003-12-24
357,32.74700164794922,2003-12-25
358,9.23799991607666,2003-12-26
359,0.0,2003-12-27
360,0.8730000257492065,2003-12-28
361,82.36199951171875,2003-12-29
362,79.21099853515625,2003-12-30
363,0.2269999980926513,2003-12-31
364,64.09100341796875,2004-01-01
365,82.04499816894531,2004-01-02
366,11.40999984741211,2004-01-03
367,2.50600004196167,2004-01-04
368,0.0,2004-01-05
369,0.2709999978542328,2004-01-06
370,4.631999969482422,2004-01-07
371,8.397000312805176,2004-01-08
372,29.849000930786133,2004-01-09
373,36.52899932861328,2004-01-10
374,6.88700008392334,2004-01-11
375,0.5149999856948853,2004-01-12
376,10.288999557495115,2004-01-13
377,13.065999984741213,2004-01-14
378,6.828999996185303,2004-01-15
379,0.9580000042915344,2004-01-16
380,0.0,2004-01-17
381,0.0,2004-01-18
382,0.0040000001899898,2004-01-19
383,8.638999938964844,2004-01-20
384,9.423999786376951,2004-01-21
385,9.168999671936035,2004-01-22
386,0.1909999996423721,2004-01-23
387,10.350000381469728,2004-01-24
388,12.44200038909912,2004-01-25
389,0.0379999987781047,2004-01-26
390,21.697999954223636,2004-01-27
391,37.55699920654297,2004-01-28
392,2.305000066757202,2004-01-29
393,11.76200008392334,2004-01-30
394,6.718999862670898,2004-01-31
395,3.921999931335449,2004-02-01
396,13.541000366210938,2004-02-02
397,56.24599838256836,2004-02-03
398,13.77299976348877,2004-02-04
399,0.0,2004-02-05
400,0.5529999732971191,2004-02-06
401,19.145999908447266,2004-02-07
402,0.0,2004-02-08
403,0.0,2004-02-09
404,0.0,2004-02-10
405,0.0,2004-02-11
406,0.0,2004-02-12
407,5.652999877929688,2004-02-13
408,23.55500030517578,2004-02-14
409,26.173999786376957,2004-02-15
410,39.87900161743164,2004-02-16
411,105.39700317382812,2004-02-17
412,69.93000030517578,2004-02-18
413,15.375,2004-02-19
414,2.746000051498413,2004-02-20
415,0.0,2004-02-21
416,6.427999973297119,2004-02-22
417,6.124000072479248,2004-02-23
418,14.017000198364258,2004-02-24
419,25.000999450683597,2004-02-25
420,95.95800018310548,2004-02-26
421,35.36800003051758,2004-02-27
422,12.543999671936035,2004-02-28
423,0.0,2004-02-29
424,10.866999626159668,2004-03-01
425,5.188000202178955,2004-03-02
426,0.0,2004-03-03
427,0.0,2004-03-04
428,0.0,2004-03-05
429,0.0,2004-03-06
430,0.0,2004-03-07
431,0.0,2004-03-08
432,0.0,2004-03-09
433,0.0,2004-03-10
434,0.0,2004-03-11
435,0.0,2004-03-12
436,0.0,2004-03-13
437,0.0,2004-03-14
438,0.0,2004-03-15
439,0.0,2004-03-16
440,0.0,2004-03-17
441,0.0,2004-03-18
442,0.0,2004-03-19
443,0.0,2004-03-20
444,0.0,2004-03-21
445,0.0,2004-03-22
446,0.0,2004-03-23
447,0.0,2004-03-24
448,9.770000457763672,2004-03-25
449,44.43999862670898,2004-03-26
450,22.132999420166016,2004-03-27
451,0.6549999713897705,2004-03-28
452,5.986000061035156,2004-03-29
453,5.264999866485596,2004-03-30
454,4.76800012588501,2004-03-31
455,0.0,2004-04-01
456,0.0,2004-04-02
457,0.0,2004-04-03
458,0.0,2004-04-04
459,0.0,2004-04-05
460,0.0,2004-04-06
461,0.0,2004-04-07
462,0.0,2004-04-08
463,0.0,2004-04-09
464,0.0,2004-04-10
465,0.0,2004-04-11
466,0.0,2004-04-12
467,1.4459999799728394,2004-04-13
468,4.109000205993652,2004-04-14
469,13.6899995803833,2004-04-15
470,4.4720001220703125,2004-04-16
471,1.4550000429153442,2004-04-17
472,3.86299991607666,2004-04-18
473,10.032999992370604,2004-04-19
474,21.729999542236328,2004-04-20
475,36.18999862670898,2004-04-21
476,8.069999694824219,2004-04-22
477,0.0,2004-04-23
478,0.0,2004-04-24
479,0.0,2004-04-25
480,0.0,2004-04-26
481,0.0,2004-04-27
482,0.0,2004-04-28
483,0.0,2004-04-29
484,0.0,2004-04-30
485,0.0,2004-05-01
486,0.0,2004-05-02
487,0.0,2004-05-03
488,0.0,2004-05-04
489,0.0,2004-05-05
490,0.0,2004-05-06
491,0.6389999985694885,2004-05-07
492,2.382999897003174,2004-05-08
493,0.0,2004-05-09
494,0.0,2004-05-10
495,0.0,2004-05-11
496,0.0,2004-05-12
497,0.0,2004-05-13
498,0.0,2004-05-14
499,0.0,2004-05-15
500,0.0,2004-05-16
501,0.0,2004-05-17
502,2.052999973297119,2004-05-18
503,0.0,2004-05-19
504,0.0,2004-05-20
505,0.0,2004-05-21
506,0.0,2004-05-22
507,0.0,2004-05-23
508,0.0,2004-05-24
509,0.0,2004-05-25
510,0.0,2004-05-26
511,0.0,2004-05-27
512,1.88100004196167,2004-05-28
513,0.9670000076293944,2004-05-29
514,0.0,2004-05-30
515,0.0,2004-05-31
516,0.0,2004-06-01
517,0.0,2004-06-02
518,0.0,2004-06-03
519,0.0,2004-06-04
520,0.0,2004-06-05
521,0.0,2004-06-06
522,0.0,2004-06-07
523,0.0,2004-06-08
524,0.2949999868869781,2004-06-09
525,0.0,2004-06-10
526,0.0,2004-06-11
527,0.0,2004-06-12
528,0.0,2004-06-13
529,0.0,2004-06-14
530,0.0,2004-06-15
531,0.0,2004-06-16
532,0.0,2004-06-17
533,0.0,2004-06-18
534,0.0,2004-06-19
535,0.0,2004-06-20
536,0.0,2004-06-21
537,0.0,2004-06-22
538,0.0,2004-06-23
539,0.0,2004-06-24
540,0.0,2004-06-25
541,0.0,2004-06-26
542,0.0,2004-06-27
543,0.0,2004-06-28
544,0.0,2004-06-29
545,0.0,2004-06-30
546,0.0,2004-07-01
547,0.0,2004-07-02
548,0.0,2004-07-03
549,0.0,2004-07-04
550,0.0,2004-07-05
551,0.0,2004-07-06
552,0.0,2004-07-07
553,0.0,2004-07-08
554,0.0,2004-07-09
555,0.0,2004-07-10
556,0.0,2004-07-11
557,0.0,2004-07-12
558,0.0,2004-07-13
559,0.0,2004-07-14
560,0.0,2004-07-15
561,0.0,2004-07-16
562,0.0,2004-07-17
563,0.0,2004-07-18
564,0.0,2004-07-19
565,0.0,2004-07-20
566,0.0,2004-07-21
567,0.0,2004-07-22
568,0.0,2004-07-23
569,0.0,2004-07-24
570,0.0,2004-07-25
571,0.0,2004-07-26
572,0.0,2004-07-27
573,0.0,2004-07-28
574,0.0,2004-07-29
575,0.0,2004-07-30
576,0.0,2004-07-31
577,0.0,2004-08-01
578,0.0,2004-08-02
579,0.0,2004-08-03
580,0.0,2004-08-04
581,0.0,2004-08-05
582,0.0,2004-08-06
583,0.0,2004-08-07
584,0.0,2004-08-08
585,0.0,2004-08-09
586,0.0,2004-08-10
587,0.0,2004-08-11
588,0.0,2004-08-12
589,0.0,2004-08-13
590,0.0,2004-08-14
591,0.0,2004-08-15
592,0.0,2004-08-16
593,0.0,2004-08-17
594,0.0,2004-08-18
595,0.0,2004-08-19
596,0.0,2004-08-20
597,0.0,2004-08-21
598,0.0,2004-08-22
599,0.0,2004-08-23
600,0.0,2004-08-24
601,0.0,2004-08-25
602,0.0,2004-08-26
603,0.0,2004-08-27
604,0.0,2004-08-28
605,0.0,2004-08-29
606,0.0,2004-08-30
607,0.0,2004-08-31
608,0.0,2004-09-01
609,0.0,2004-09-02
610,0.0,2004-09-03
611,0.0,2004-09-04
612,0.0,2004-09-05
613,0.0,2004-09-06
614,0.0,2004-09-07
615,0.0,2004-09-08
616,0.0,2004-09-09
617,0.0,2004-09-10
618,0.0,2004-09-11
619,0.0,2004-09-12
620,0.0,2004-09-13
621,0.0,2004-09-14
622,0.0,2004-09-15
623,0.0,2004-09-16
624,0.0,2004-09-17
625,0.0,2004-09-18
626,6.423999786376953,2004-09-19
627,1.6299999952316284,2004-09-20
628,0.0,2004-09-21
629,0.0,2004-09-22
630,0.0,2004-09-23
631,0.0,2004-09-24
632,0.0,2004-09-25
633,0.0,2004-09-26
634,0.0,2004-09-27
635,0.0,2004-09-28
636,0.0,2004-09-29
637,0.0,2004-09-30
638,0.0,2004-10-01
639,0.0,2004-10-02
640,0.0,2004-10-03
641,0.0,2004-10-04
642,0.0,2004-10-05
643,0.0,2004-10-06
644,0.0010000000474974,2004-10-07
645,0.0,2004-10-08
646,14.425000190734863,2004-10-09
647,2.815000057220459,2004-10-10
648,0.0,2004-10-11
649,0.0,2004-10-12
650,0.0,2004-10-13
651,0.0,2004-10-14
652,0.0,2004-10-15
653,0.0,2004-10-16
654,1.4800000190734863,2004-10-17
655,16.166000366210938,2004-10-18
656,61.57799911499024,2004-10-19
657,40.11199951171875,2004-10-20
658,3.359999895095825,2004-10-21
659,6.420000076293945,2004-10-22
660,10.53600025177002,2004-10-23
661,9.892000198364258,2004-10-24
662,0.0,2004-10-25
663,33.23099899291992,2004-10-26
664,19.976999282836918,2004-10-27
665,0.0,2004-10-28
666,0.0010000000474974,2004-10-29
